Fall,GeoLocation,Id,Name,Nametype,Recclass,Year,Reclat,Reclong,Mass
Found,"(34.18513, -101.70558)",54437,Plainview (e),Valid,H5,2010,34.18513,-101.70558,1250
Found,"(32.70038, -102.67268)",54436,Seminole (f),Valid,H5,2008,32.70038,-102.67268,5421
Found,"(35.16993, -114.45585)",53890,Thumb Butte,Valid,H3.8,2008,35.16993,-114.45585,105
Found,"(40.266667, -94.683333)",53877,Conception Junction,Valid,"Pallasite, PMG-an",2006,40.266667,-94.683333,17000
Found,"(34.63432, -117.56217)",53845,El Mirage Dry Lake 003,Valid,H6,2010,34.63432,-117.56217,6.9
Found,"(39.68973, -117.61822)",53844,Tungsten Mountain 573,Valid,H4,2010,39.68973,-117.61822,68
Found,"(37.52392, -98.62993)",53806,Sawyer,Valid,H4,2006,37.52392,-98.62993,8100
Found,"(30.52213, -99.73698)",53635,Llano River,Valid,"Iron, IIIAB",1975,30.52213,-99.73698,4318
Fell,"(38.13742, -119.75812)",53502,Red Canyon Lake,Valid,H5,2007,38.13742,-119.75812,18.41
Found,"(35.16867, -114.455)",53492,Laughlin,Valid,H5,2008,35.16867,-114.455,10
Found,"(33.24558, -111.89633)",53491,Chandler,Valid,L6,2009,33.24558,-111.89633,350.4
Found,"(33.88098, -111.78558)",53490,Camp Creek,Valid,H4,2009,33.88098,-111.78558,3016
Found,"(33.69177, -113.63612)",53484,Little Harquahala Mountains,Valid,H-melt rock,2006,33.69177,-113.63612,262.2
Found,"(35.0421, -117.27512)",52983,Harper Dry Lake 018,Valid,H6,2007,35.0421,-117.27512,39.7
Found,"(35.66594, -115.37081)",52982,Roach Dry Lake 113,Valid,H5,2010,35.66594,-115.37081,39.6
Found,"(35.30455, -117.45817)",52980,Cuddeback Dry Lake 019,Valid,L6,2008,35.30455,-117.45817,10.1
Found,"(35.28638, -117.48305)",52979,Cuddeback Dry Lake 018,Valid,H4,2008,35.28638,-117.48305,8.5
Found,"(35.28528, -117.48305)",52978,Cuddeback Dry Lake 017,Valid,H6,2008,35.28528,-117.48305,23.1
Found,"(35.31218, -117.45303)",52974,Cuddeback Dry Lake 013,Valid,H4,2008,35.31218,-117.45303,1.6
Found,"(35.62453, -114.04688)",52971,Red Dry Lake 071,Valid,H6,2010,35.62453,-114.04688,4.35
Found,"(35.296, -117.472)",52968,Cuddeback Dry Lake 029,Valid,H4,2008,35.296,-117.472,22.2
Found,"(35.296, -117.472)",52967,Cuddeback Dry Lake 028,Valid,L5,2008,35.296,-117.472,19.5
Found,"(40.2819, -118.94693)",52962,Bluewing 037,Valid,H5,2009,40.2819,-118.94693,37.2
Found,"(35.64, -114.03285)",52891,Red Dry Lake 068,Valid,H4,2008,35.64,-114.03285,26.2
Found,"(35.65868, -114.02573)",52886,Red Dry Lake 067,Valid,L3.4,2009,35.65868,-114.02573,6.2
Found,"(35.3248, -117.47983)",52856,Cuddeback Dry Lake 023,Valid,H5,1986,35.3248,-117.47983,123
Found,"(40.74018, -118.17285)",52855,Imlay,Valid,L5,2009,40.74018,-118.17285,770
Found,"(35.03333, -117.28333)",52853,Harper Dry Lake 036,Valid,L6,2010,35.03333,-117.28333,85.5
Found,"(34.685, -114.323)",52852,Boulder Mine,Valid,L5,2008,34.685,-114.323,1560
Found,"(32.07667, -109.8455)",52851,Willcox Playa 009,Valid,Mesosiderite,2009,32.07667,-109.8455,160
Fell,"(38.70066, -77.21163)",52843,Lorton,Valid,L6,2010,38.70066,-77.21163,329.7
Found,"(35.0751, -116.75038)",52804,Coyote Dry Lake 318,Valid,H5,2009,35.0751,-116.75038,7.2
Found,"(44.33823, -107.67405)",52755,Hyattville,Valid,L6,2008,44.33823,-107.67405,8911
Found,"(35.98728, -115.85828)",52752,Stump Spring 083,Valid,LL6,2010,35.98728,-115.85828,13700
Found,"(39.35067, -114.40783)",52641,Yelland Dry Lake,Valid,H4,2007,39.35067,-114.40783,76000
Found,"(34.48598, -116.95593)",52533,Lucerne Valley 101,Valid,CK4,2008,34.48598,-116.95593,4
Found,"(34.48738, -116.96065)",52532,Lucerne Valley 100,Valid,CK5,2008,34.48738,-116.96065,0.8
Found,"(34.48733, -116.96055)",52531,Lucerne Valley 099,Valid,CK5,2008,34.48733,-116.96055,3.2
Found,"(34.48703, -116.95595)",52530,Lucerne Valley 098,Valid,CK4,2008,34.48703,-116.95595,1.5
Found,"(34.48565, -116.95673)",52529,Lucerne Valley 097,Valid,CK4,2008,34.48565,-116.95673,6.5
Found,"(34.48662, -116.9564)",52528,Lucerne Valley 096,Valid,L5,2008,34.48662,-116.9564,7.3
